1054 1136
0 960 /predictor/d1/1/bn0/beta
1 184320 /predictor/d1/1/c0/W
2 768 /predictor/d1/1/bn1/gamma
3 768 /predictor/d1/1/bn1/beta
4 331776 /predictor/d1/1/c1/W
5 1152 /predictor/d1/2/bn0/gamma
6 1152 /predictor/d1/2/bn0/beta
7 221184 /predictor/d1/2/c0/W
8 768 /predictor/d2/13/bn1/gamma
9 768 /predictor/d1/2/bn1/gamma
10 768 /predictor/d1/2/bn1/beta
11 331776 /predictor/d1/2/c1/W
12 1179648 /predictor/t1/c0/W
13 1536 /predictor/d2/0/bn0/gamma
14 1536 /predictor/d2/0/bn0/beta
15 294912 /predictor/d2/0/c0/W
16 768 /predictor/d2/0/bn1/gamma
17 768 /predictor/d2/0/bn1/beta
18 331776 /predictor/d2/0/c1/W
19 1728 /predictor/d2/1/bn0/gamma
20 1728 /predictor/d2/1/bn0/beta
21 331776 /predictor/d2/1/c0/W
22 331776 /predictor/d2/10/c1/W
23 3648 /predictor/d2/11/bn0/gamma
24 3648 /predictor/d2/11/bn0/beta
25 700416 /predictor/d2/11/c0/W
26 768 /predictor/d2/11/bn1/gamma
27 768 /predictor/d2/11/bn1/beta
28 331776 /predictor/d2/11/c1/W
29 3840 /predictor/d2/12/bn0/gamma
30 3840 /predictor/d2/12/bn0/beta
31 737280 /predictor/d2/12/c0/W
32 768 /predictor/d2/12/bn1/gamma
33 13547520 _
34 4816896 _
35 1204224 _
36 1179648 /predictor/d2/24/c0/W
37 4816896 _
38 34922496 _
39 13547520 _
40 46964736 _
41 1204224 _
42 768 /predictor/d2/24/bn1/gamma
43 4816896 _
44 34922496 _
45 1204224 _
46 768 /predictor/d2/24/bn1/beta
47 331776 /predictor/d2/24/c1/W
48 34922496 _
49 1204224 _
50 4816896 _
51 46964736 _
52 13848576 _
53 1204224 _
54 301056 _
55 6336 /predictor/d2/25/bn0/gamma
56 46964736 _
57 4816896 _
58 4816896 _
59 6336 /predictor/d2/25/bn0/beta
60 13848576 _
61 36126720 _
62 282624 _
63 1216512 /predictor/d2/25/c0/W
64 4816896 _
65 1204224 _
66 13848576 _
67 4816896 _
68 282624 _
69 768 /predictor/d2/25/bn1/gamma
70 48168960 _
71 4816896 _
72 768 /predictor/d2/25/bn1/beta
73 36126720 _
74 1204224 _
75 128000 _
76 331776 /predictor/d2/25/c1/W
77 36126720 _
78 4816896 _
79 48168960 _
80 4 _
81 6528 /predictor/d2/26/bn0/gamma
82 48168960 _
83 4816896 _
84 6528 /predictor/d2/26/bn0/beta
85 4816896 _
