266 268
0 262144 _
1 262144 _
2 25690112 _
3 131072 _
4 25690112 _
5 131072 _
6 128000 _
7 25690112 _
8 77070336 _
9 1081344 _
10 77070336 _
11 262144 _
12 77070336 _
13 262144 _
14 262144 _
15 19267584 _
16 6422528 _
17 131072 _
18 131072 _
19 12845056 _
20 128000 _
21 4 _
22 9633792 _
23 9633792 _
24 12845056 _
25 4 _
26 1605632 _
27 73728 /predictor/inc3a/proj3/W
28 1843200 /predictor/inc4e/conv3/W
29 384 /predictor/inc3a/proj3/b
30 1280 /predictor/inc4e/conv3/b
31 442368 /predictor/inc3a/conv3/W
32 67584 /predictor/inc4e/proj5/W
33 512 /predictor/inc3a/conv3/b
34 128 /predictor/inc4e/proj5/b
35 12288 /predictor/inc3a/proj5/W
36 409600 /predictor/inc4e/conv5/W
37 24576 /predictor/inc3a/projp/W
38 512 /predictor/inc4e/conv5/b
39 128 /predictor/inc3a/projp/b
40 270336 /predictor/inc4e/projp/W
41 25690112 _
42 131072 /predictor/inc3b/conv1/W
43 512 /predictor/inc4e/projp/b
44 512 /predictor/inc3b/conv1/b
45 851968 /predictor/inc5a/conv1/W
46 131072 /predictor/inc3b/proj3/W
47 1024 /predictor/inc5a/conv1/b
48 512 /predictor/inc3b/proj3/b
49 425984 /predictor/inc5b/projp/W
50 4 _
51 13246464 _
52 131072 /predictor/inc4b/projp/W
53 1605632 _
54 184320 /predictor/inc4a/proj3/W
55 512 /predictor/inc5b/projp/b
56 256 /predictor/inc4b/projp/b
57 4 _
58 3211264 _
59 384 /predictor/inc4a/proj3/b
60 4096000 /predictor/loss3_fc/W
61 4 _
62 20873216 _
63 4000 /predictor/loss3_fc/b
64 262144 /predictor/inc4c/conv1/W
65 718848 /predictor/inc4a/conv3/W
66 20873216 _
67 1204224 _
68 512 /predictor/inc4c/conv1/b
69 832 /predictor/inc4a/conv3/b
70 262144 /predictor/loss1_conv/W
71 1003520 _
72 131072 _
73 512 /predictor/loss1_conv/b
74 1003520 _
75 2007040 _
76 262144 /predictor/inc4c/proj3/W
77 30720 /predictor/inc4a/proj5/W
78 512 /predictor/inc4c/proj3/b
79 8388608 /predictor/loss1_fc1/W
