727 770
0 8294400 _
1 33177600 _
2 262144 /model/extractor/res3/b2/conv3/conv/W
3 68 /aux_conv2/b
4 8294400 _
5 2048 /model/extractor/res3/b2/conv3/bn/gamma
6 4147200 _
7 2048 /model/extractor/res3/b2/conv3/bn/beta
8 33177600 _
9 16588800 _
10 6100428 0
11 8294400 _
12 33177600 _
13 4147200 _
14 33177600 _
15 2033476 1
16 8294400 _
17 8294400 _
18 8294400 _
19 262144 /model/extractor/res3/b3/conv1/conv/W
20 4096 /model/extractor/res4/b12/conv3/bn/beta
21 16588800 _
22 16588800 _
23 32626944 _
24 512 /model/extractor/res3/b3/conv1/bn/gamma
25 8294400 _
26 512 /model/extractor/res3/b3/conv1/bn/beta
27 8294400 _
28 4147200 _
29 33177600 _
30 8294400 _
31 8294400 _
32 8294400 _
33 16588800 _
34 589824 /model/extractor/res3/b3/conv2/conv/W
35 16588800 _
36 32626944 _
37 16588800 _
38 512 /model/extractor/res3/b3/conv2/bn/gamma
39 32626944 _
40 33177600 _
41 8294400 _
42 32626944 _
43 33177600 _
44 8294400 _
45 512 /model/extractor/res3/b3/conv2/bn/beta
46 33177600 _
47 8294400 _
48 33177600 _
49 8294400 _
50 4147200 _
51 33177600 _
52 262144 /model/extractor/res3/b3/conv3/conv/W
53 32626944 _
54 4147200 _
55 4147200 _
56 16404992 _
57 65253888 _
58 33177600 _
59 2048 /model/extractor/res3/b3/conv3/bn/gamma
60 32626944 _
61 8294400 _
62 33177600 _
63 4194304 /model/extractor/res5/a/conv3/conv/W
64 8294400 _
65 33177600 _
66 16588800 _
67 2359296 /model/extractor/res4/b15/conv2/conv/W
68 8294400 _
69 4096 /model/extractor/res4/b6/conv3/bn/beta
70 8294400 _
71 8294400 _
72 8294400 _
73 8192 /model/extractor/res5/a/conv3/bn/gamma
74 550800 _
75 1048576 /model/extractor/res4/b19/conv1/conv/W
76 8294400 _
77 16588800 _
78 8294400 _
79 8192 /model/extractor/res5/a/conv3/bn/beta
80 1024 /model/extractor/res4/b15/conv2/bn/gamma
81 1048576 /model/extractor/res4/b7/conv1/conv/W
82 16588800 _
83 33177600 _
84 1024 /model/extractor/res4/b15/conv2/bn/beta
85 294912 _
86 16588800 _
