986 1032
0 1048576 /predictor/res4/b19/conv3/W
1 4096 /predictor/res4/b19/bn3/gamma
2 4096 /predictor/res4/b19/bn3/beta
3 1048576 /predictor/res4/b20/conv1/W
4 1024 /predictor/res4/b20/bn1/gamma
5 1024 /predictor/res4/b20/bn1/beta
6 2359296 /predictor/res4/b20/conv2/W
7 1024 /predictor/res4/b20/bn2/gamma
8 1024 /predictor/res4/b20/bn2/beta
9 1048576 /predictor/res4/b20/conv3/W
10 4096 /predictor/res4/b20/bn3/gamma
11 4096 /predictor/res4/b20/bn3/beta
12 1048576 /predictor/res4/b27/conv3/W
13 12845056 _
14 6422528 _
15 12845056 _
16 4096 /predictor/res4/b27/bn3/gamma
17 6422528 _
18 6422528 _
19 4096 /predictor/res4/b27/bn3/beta
20 3211264 _
21 1048576 /predictor/res4/b28/conv1/W
22 3211264 _
23 3211264 _
24 6422528 _
25 1024 /predictor/res4/b28/bn1/gamma
26 25690112 _
27 6422528 _
28 1024 /predictor/res4/b28/bn1/beta
29 3211264 _
30 2359296 /predictor/res4/b28/conv2/W
31 12845056 _
32 25690112 _
33 3211264 _
34 25690112 _
35 1024 /predictor/res4/b28/bn2/gamma
36 6422528 _
37 1024 /predictor/res4/b28/bn2/beta
38 25690112 _
39 12845056 _
40 12845056 _
41 1048576 /predictor/res4/b28/conv3/W
42 3211264 _
43 6422528 _
44 12845056 _
45 4096 /predictor/res4/b28/bn3/gamma
46 262144 _
47 6422528 _
48 6422528 _
49 4096 /predictor/res4/b28/bn3/beta
50 102760448 _
51 25690112 _
52 1048576 /predictor/res4/b11/conv3/W
53 1048576 /predictor/res4/b3/conv3/W
54 102760448 _
55 6422528 _
56 4096 /predictor/res4/b11/bn3/gamma
57 4096 /predictor/res4/b3/bn3/gamma
58 102760448 _
59 25690112 _
60 6422528 _
61 128 1
62 4096 /predictor/res4/b11/bn3/beta
63 4096 /predictor/res4/b3/bn3/beta
64 25690112 _
65 1048576 /predictor/res4/b12/conv1/W
66 25690112 _
67 1048576 /predictor/res4/b4/conv1/W
68 25690112 _
69 25690112 _
70 25690112 _
71 6422528 _
72 1024 /predictor/res4/b12/bn1/gamma
73 1024 /predictor/res4/b4/bn1/gamma
74 25690112 _
75 1024 /predictor/res4/b12/bn1/beta
76 1024 /predictor/res4/b4/bn1/beta
77 2359296 /predictor/res4/b12/conv2/W
78 2359296 /predictor/res4/b4/conv2/W
79 25690112 _
80 6422528 _
81 102760448 _
82 25690112 _
83 1024 /predictor/res4/b12/bn2/gamma
84 1024 /predictor/res4/b4/bn2/gamma
85 6422528 _
86 6422528 _
87 1024 /predictor/res4/b12/bn2/beta
88 1024 /predictor/res4/b4/bn2/beta
89 19267584 0
90 102760448 _
91 12845056 _
92 1048576 /predictor/res4/b12/conv3/W
93 1048576 /predictor/res4/b4/conv3/W
94 102760448 _
95 6422528 _
96 4096 /predictor/res4/b12/bn3/gamma
97 4096 /predictor/res4/b4/bn3/gamma
98 102760448 _
99 25690112 _
100 6422528 _
101 4096 /predictor/res4/b12/bn3/beta
102 4096 /predictor/res4/b4/bn3/beta
103 6422528 _
104 51380224 _
105 25690112 _
106 262144 /predictor/res3/b4/conv1/W
107 25690112 _
108 6422528 _
109 6422528 _
110 6422528 _
111 512 /predictor/res3/b4/bn1/gamma
112 6422528 _
113 25690112 _
114 512 /predictor/res3/b4/bn1/beta
115 6422528 _
116 6422528 _
117 589824 /predictor/res3/b4/conv2/W
118 6422528 _
